title,url,property_type,address,district,city,area_text,bedrooms,bathrooms,price_text,posted_at
Bán mặt phố Trương Định | 75m2 | 1 tầng | MT 4.5m | Giá 30.5 tỷ,https://mogi.vn/quan-hoang-mai/mua-nha-mat-tien-pho/ban-mat-pho-truong-dinh-75m2-1-tang-mt-4-5m-gia-30-5-ty-id22727026,nha_mat_pho,"Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Hà Nội,75 m2,1,1,30 tỷ 500 triệu,Hôm nay
Hàng hot | Mặt phố Nguyễn Trãi | 30m2 x 5 tầng | MT 3.5m | Giá 19 tỷ,https://mogi.vn/quan-thanh-xuan/mua-nha-mat-tien-pho/hang-hot-mat-pho-nguyen-trai-30m2-x-5-tang-mt-3-5m-gia-19-ty-id22727588,nha_mat_pho,"Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Hà Nội,30 m2,3,4,19 tỷ,Hôm nay
Bán mặt phố Giáp Bát | 102m2 | 7 tầng | MT 5.4m | Giá chỉ 35.8 tỷ,https://mogi.vn/quan-hoang-mai/mua-nha-mat-tien-pho/ban-mat-pho-giap-bat-102m2-7-tang-mt-5-4m-gia-chi-35-8-ty-id22727231,nha_mat_pho,"Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Hà Nội,102 m2,18,18,35 tỷ 800 triệu,Hôm nay
Bán mặt phố Giang Văn Minh| 30m2 x 4 tầng | MT 4.2m| Giá 21.7 tỷ,https://mogi.vn/quan-ba-dinh/mua-nha-mat-tien-pho/ban-mat-pho-giang-van-minh-30m2-x-4-tang-mt-4-2m-gia-21-7-ty-id22727928,nha_mat_pho,"Quận Ba Đình, Hà Nội",Quận Ba Đình,Hà Nội,30 m2,4,4,21 tỷ 700 triệu,Hôm nay
Bán nhà mặt phố Khương Thượng | 60m2 x 7 tầng | MT 5m | Giá 32.9 tỷ,https://mogi.vn/quan-dong-da/mua-nha-mat-tien-pho/ban-nha-mat-pho-khuong-thuong-60m2-x-7-tang-mt-5m-gia-32-9-ty-id22728062,nha_mat_pho,"Quận Đống Đa, Hà Nội",Quận Đống Đa,Hà Nội,60 m2,18,18,32 tỷ 900 triệu,Hôm nay
Nhà mặt phố Nguyễn Hy Quang | 37m2 x 6 tầng thang máy | Giá 31.5 tỷ,https://mogi.vn/quan-dong-da/mua-nha-mat-tien-pho/nha-mat-pho-nguyen-hy-quang-37m2-x-6-tang-thang-may-gia-31-5-ty-id22732086,nha_mat_pho,"Quận Đống Đa, Hà Nội",Quận Đống Đa,Hà Nội,37 m2,6,6,31 tỷ 500 triệu,Hôm nay
Siêu phẩm cực hiếm | 70m2 |Mặt tiền 6.2m | Mặt phố Chùa Quỳnh | 30 tỷ,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/sieu-pham-cuc-hiem-70m2-mat-tien-6-2m-mat-pho-chua-quynh-30-ty-id22732240,nha_mat_pho,"Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Hà Nội,70 m2,2,2,30 tỷ,Hôm nay
Hàng hót | Mặt phố Lê Trọng Tấn | 67m2 x 5 tầng | MT 4.5m | Giá 42 tỷ,https://mogi.vn/quan-thanh-xuan/mua-nha-mat-tien-pho/hang-hot-mat-pho-le-trong-tan-67m2-x-5-tang-mt-4-5m-gia-42-ty-id22732253,nha_mat_pho,"Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Hà Nội,67 m2,5,5,42 tỷ,Hôm nay
Hàng hot|Mặt phố Dương Quảng Hàm|100m2 x 3 tầng | MT 4.5m | Giá 38 tỷ,https://mogi.vn/quan-cau-giay/mua-nha-mat-tien-pho/hang-hot-mat-pho-duong-quang-ham-100m2-x-3-tang-mt-4-5m-gia-38-ty-id22732255,nha_mat_pho,"Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Hà Nội,100 m2,5,3,38 tỷ,Hôm nay
Cực phẩm | 40m2 | 7 tầng | Mặt tiền 4.8m | Bán nhà mặt phố Hàng Cháo,https://mogi.vn/quan-dong-da/mua-nha-mat-tien-pho/cuc-pham-40m2-7-tang-mat-tien-4-8m-ban-nha-mat-pho-hang-chao-id22732259,nha_mat_pho,"Quận Đống Đa, Hà Nội",Quận Đống Đa,Hà Nội,40 m2,6,6,30 tỷ 500 triệu,Hôm nay
Siêu đẹp | Mặt phố Trần Đại Nghĩa| View sông | Lô góc 2 mặt tiền,https://mogi.vn/quan-hoang-mai/mua-nha-mat-tien-pho/sieu-dep-mat-pho-tran-dai-nghia-view-song-lo-goc-2-mat-tien-id22732488,nha_mat_pho,"Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Hà Nội,38 m2,5,5,27 tỷ,Hôm nay
"bán nhà Đông Ngạc 40m 5 tầng, ngõ kinh doanh giá 8 tỷ",https://mogi.vn/quan-bac-tu-liem/mua-nha-mat-tien-pho/ban-nha-dong-ngac-40m-5-tang-ngo-kinh-doanh-gia-8-ty-id22738135,nha_mat_pho,"Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Hà Nội,40 m2,4,4,8 tỷ,Hôm nay
