area,district,property_type,price,listing_type,price_ty
30.0,Quận Nam Từ Liêm,nha_pho,6800000000,ban,6.8
32.0,Quận Bắc Từ Liêm,nha_pho,8280000000,ban,8.28
100.0,Quận Đống Đa,nha_pho,32000000000,ban,32.0
90.0,Quận Đống Đa,nha_pho,7320000000,ban,7.32
57.0,Quận Hai Bà Trưng,nha_pho,13800000000,ban,13.8
48.0,Quận Hai Bà Trưng,nha_pho,9890000000,ban,9.89
135.0,Quận Hoàn Kiếm,nha_pho,438000000000,ban,438.0
54.0,Quận Hà Đông,nha_pho,5900000000,ban,5.9
50.0,Quận Bắc Từ Liêm,nha_pho,7000000000,ban,7.0
30.0,Quận Tây Hồ,nha_pho,7300000000,ban,7.3
44.5,Quận Cầu Giấy,nha_pho,8250000000,ban,8.25
25.0,Quận Thanh Xuân,nha_pho,13900000000,ban,13.9
45.0,Quận Hai Bà Trưng,nha_pho,13900000000,ban,13.9
34.0,Quận Bắc Từ Liêm,nha_pho,4200000000,ban,4.2
42.0,Huyện Hoài Đức,nha_pho,4700000000,ban,4.7
15.0,Quận Đống Đa,nha_pho,3950000000,ban,3.95
30.0,Quận Thanh Xuân,nha_pho,3500000000,ban,3.5
71.0,Quận Nam Từ Liêm,nha_pho,19000000000,ban,19.0
40.0,Quận Long Biên,nha_pho,12300000000,ban,12.3
32.0,Quận Thanh Xuân,nha_pho,8150000000,ban,8.15
32.0,Quận Hai Bà Trưng,nha_pho,6900000000,ban,6.9
38.0,Quận Hoàng Mai,nha_pho,8550000000,ban,8.55
35.0,Huyện Thanh Trì,nha_pho,8400000000,ban,8.4
30.0,Quận Hai Bà Trưng,nha_pho,6700000000,ban,6.7
40.0,Quận Hoàng Mai,nha_pho,8600000000,ban,8.6
20.0,Quận Thanh Xuân,nha_pho,9850000000,ban,9.85
30.0,Quận Hai Bà Trưng,nha_pho,6150000000,ban,6.15
30.0,Quận Hà Đông,nha_pho,4200000000,ban,4.2
35.0,Quận Hà Đông,nha_pho,7000000000,ban,7.0
26.0,Quận Hai Bà Trưng,nha_pho,6500000000,ban,6.5
22.0,Quận Hai Bà Trưng,nha_pho,6380000000,ban,6.38
30.5,Quận Hà Đông,nha_pho,6500000000,ban,6.5
31.0,Quận Hà Đông,nha_pho,7000000000,ban,7.0
65.0,Quận Long Biên,nha_pho,8800000000,ban,8.8
38.0,Quận Long Biên,nha_pho,6600000000,ban,6.6
60.0,Quận Hai Bà Trưng,nha_pho,29000000000,ban,29.0
48.0,Quận Đống Đa,nha_pho,15300000000,ban,15.3
195.0,Quận Bắc Từ Liêm,biet_thu,55000000000,ban,55.0
15.0,Quận Hai Bà Trưng,nha_pho,2300000000,ban,2.3
42.0,Quận Ba Đình,nha_pho,8600000000,ban,8.6
132.1999,Quận Thanh Xuân,nha_pho,59490000000,ban,59.49
21.0,Quận Đống Đa,nha_pho,4750000000,ban,4.75
39.0,Quận Thanh Xuân,nha_pho,8500000000,ban,8.5
25.0,Quận Ba Đình,nha_pho,6200000000,ban,6.2
30.0,Quận Hà Đông,nha_pho,3750000000,ban,3.75
40.0,Quận Ba Đình,nha_pho,15000000000,ban,15.0
102.0,Quận Cầu Giấy,nha_pho,53450000000,ban,53.45
35.0,Quận Hoàng Mai,nha_pho,5500000000,ban,5.5
20.0,Quận Hai Bà Trưng,nha_pho,2950000000,ban,2.95
38.0,Quận Đống Đa,nha_pho,8000000000,ban,8.0
32.0,Quận Bắc Từ Liêm,nha_pho,5500000000,ban,5.5
31.0,Quận Hoàng Mai,nha_pho,6500000000,ban,6.5
24.0,Quận Hai Bà Trưng,nha_pho,2980000000,ban,2.98
45.0,Quận Hai Bà Trưng,nha_pho,9300000000,ban,9.3
33.0,Quận Đống Đa,nha_pho,10505000000,ban,10.505
44.0,Quận Hai Bà Trưng,nha_pho,9200000000,ban,9.2
50.0,Quận Hai Bà Trưng,nha_pho,7800000000,ban,7.8
28.0,Quận Hai Bà Trưng,nha_pho,5900000000,ban,5.9
42.0,Quận Thanh Xuân,nha_pho,2650000000,ban,2.65
42.0,Quận Hoàng Mai,nha_pho,2000000000,ban,2.0
25.0,Quận Đống Đa,nha_pho,4700000000,ban,4.7
60.0,Huyện Thanh Trì,nha_pho,1250000000,ban,1.25
