property_type,district,area_text,bedrooms,bathrooms,price_text,posted_at,price
nha_pho,Quận Long Biên,40 m2,3,4,2 tỷ,Hôm nay,2000000000.0
nha_pho,Quận Long Biên,35 m2,3,4,3 tỷ 450 triệu,Hôm nay,3450000000.0
nha_pho,Quận Long Biên,41 m2,5,4,6 tỷ 350 triệu,Hôm nay,6350000000.0
nha_pho,Quận Long Biên,32 m2,3,4,2 tỷ 600 triệu,Hôm nay,2600000000.0
nha_pho,Quận Long Biên,30 m2,3,4,4 tỷ 400 triệu,Hôm nay,4400000000.0
nha_pho,Quận Long Biên,52 m2,4,4,5 tỷ 150 triệu,Hôm nay,5150000000.0
nha_pho,Quận Long Biên,54 m2,5,4,6 tỷ 580 triệu,Hôm nay,6580000000.0
nha_mat_pho,Quận Long Biên,50 m2,4,4,12 tỷ 500 triệu,Hôm nay,12500000000.0
nha_pho,Quận Long Biên,45 m2,4,4,4 tỷ 400 triệu,Hôm nay,4400000000.0
nha_pho,Quận Long Biên,30 m2,3,3,2 tỷ 990 triệu,Hôm nay,2990000000.0
nha_pho,Quận Nam Từ Liêm,30 m2,5,2,7 tỷ 100 triệu,Hôm nay,7100000000.0
nha_pho,Quận Long Biên,38 m2,0,0,2 tỷ 600 triệu,Hôm nay,2600000000.0
can_ho,Huyện Hoài Đức,80 m2,3,2,4 tỷ 980 triệu,Hôm nay,4980000000.0
nha_pho,Quận Long Biên,45 m2,0,0,2 tỷ 850 triệu,Hôm nay,2850000000.0
can_ho,Quận Nam Từ Liêm,60 m2,2,1,5 tỷ 200 triệu,Hôm nay,5200000000.0
nha_pho,Quận Long Biên,40 m2,6,4,3 tỷ 850 triệu,Hôm nay,3850000000.0
can_ho,Quận Cầu Giấy,58 m2,2,2,5 tỷ 950 triệu,Hôm nay,5950000000.0
nha_pho,Quận Long Biên,30 m2,3,5,5 tỷ 200 triệu,Hôm nay,5200000000.0
can_ho,Quận Nam Từ Liêm,64 m2,2,2,6 tỷ 50 triệu,Hôm nay,6050000000.0
nha_mat_pho,Quận Long Biên,30 m2,4,4,2 tỷ 750 triệu,Hôm nay,2750000000.0
can_ho,Quận Nam Từ Liêm,43 m2,1,1,4 tỷ 600 triệu,Hôm nay,4600000000.0
nha_pho,Quận Long Biên,50 m2,4,4,5 tỷ 90 triệu,Hôm nay,5090000000.0
nha_pho,Quận Nam Từ Liêm,30 m2,3,4,7 tỷ 100 triệu,Hôm nay,7100000000.0
nha,Quận Long Biên,50 m2,4,4,5 tỷ 400 triệu,Hôm nay,5400000000.0
can_ho,Quận Nam Từ Liêm,63 m2,2,2,6 tỷ 600 triệu,Hôm nay,6600000000.0
dat,Quận Long Biên,34 m2,0,0,2 tỷ 300 triệu,Hôm nay,2300000000.0
can_ho,Quận Nam Từ Liêm,62 m2,2,1,5 tỷ 830 triệu,Hôm nay,5830000000.0
nha_pho,Quận Long Biên,40 m2,4,4,3 tỷ,Hôm nay,3000000000.0
